Ngày,Tổng kcal,Béo (g),Carb (g),Đạm (g),Béo (%),Carb (%),Đạm (%),Ghi chú
01/07/2025,1544,50.1,207.2,66.0,29.2,53.7,17.1,Béo thấp
02/07/2025,1648,60.8,202.0,73.2,33.2,49.0,17.8,
03/07/2025,1582,59.6,189.8,71.8,33.9,48.0,18.1,
04/07/2025,1752,75.7,193.5,74.2,38.9,44.2,17.0,Béo cao
05/07/2025,1683,62.9,208.5,70.8,33.6,49.6,16.8,
06/07/2025,1608,65.7,187.0,67.2,36.8,46.5,16.7,
07/07/2025,1816,82.3,190.5,78.2,40.8,42.0,17.2,Béo cao
08/07/2025,1830,81.4,203.0,71.2,40.1,44.4,15.6,Béo cao
09/07/2025,1768,65.4,223.0,71.8,33.3,50.5,16.2,Carb cao
10/07/2025,1676,70.6,192.8,67.5,37.9,46.0,16.1,
11/07/2025,1723,68.1,208.2,69.2,35.6,48.3,16.1,
12/07/2025,1885,76.8,229.0,69.5,36.7,48.6,14.7,"Calo cao, Béo cao, Carb cao"
13/07/2025,1776,71.9,214.2,68.0,36.4,48.3,15.3,
14/07/2025,1804,63.9,234.0,73.2,31.9,51.9,16.2,Carb cao
15/07/2025,1781,68.6,212.5,78.5,34.6,47.7,17.6,
16/07/2025,1817,68.4,224.5,75.8,33.9,49.4,16.7,Carb cao
17/07/2025,1667,64.1,201.2,71.2,34.6,48.3,17.1,
18/07/2025,1505,55.7,183.8,67.2,33.3,48.8,17.9,Calo thấp
19/07/2025,1796,71.1,223.5,65.5,35.6,49.8,14.6,Carb cao
20/07/2025,1647,63.7,190.8,77.8,34.8,46.3,18.9,
21/07/2025,1742,68.0,219.8,62.8,35.1,50.5,14.4,"Carb cao, Đạm thấp"
22/07/2025,1905,86.0,190.0,92.8,40.6,39.9,19.5,"Calo cao, Béo cao, Đạm cao"
23/07/2025,1841,68.9,232.2,73.0,33.7,50.5,15.9,Carb cao
24/07/2025,1829,65.2,221.0,89.5,32.1,48.3,19.6,"Carb cao, Đạm cao"
25/07/2025,1653,72.3,186.0,64.5,39.4,45.0,15.6,
26/07/2025,1746,70.4,193.8,84.2,36.3,44.4,19.3,
27/07/2025,1649,67.8,198.2,61.5,37.0,48.1,14.9,Đạm thấp
28/07/2025,1610,62.4,196.2,65.8,34.9,48.8,16.3,
29/07/2025,1721,78.2,180.5,73.8,40.9,42.0,17.1,Béo cao
30/07/2025,1705,78.9,178.5,70.2,41.6,41.9,16.5,Béo cao
31/07/2025,1835,77.2,199.8,85.2,37.9,43.5,18.6,Béo cao
